smiles,pubchem,cirpy,exists_any,Has_CAS
C=C(C)[C@H]1CC[C@@](C)(N2CCCC2)[C@H](O)C1,False,True,True,False
[Ca+2],False,True,True,False
CCCCC(CC)C(=O)[O-],False,True,True,False
[Mg+2],False,True,True,False
[Zn+2],False,True,True,False
C[C@H](OC(=O)c1ccccc1)OC(=O)[C@@H]1N2C(=O)C(Br)(CO)[C@H]2S(=O)(=O)C1(C)C,False,True,True,False
BrCc1ccccc1,False,True,True,False
CC1(C)[C@H](C(=O)OCOC(=O)OC2CCOCC2)N2C(=O)C(Br)(CO)[C@H]2S1(=O)=O,False,True,True,False
CC1(C)[C@H](C(=O)[O-])N2C(=O)C(Br)(Br)[C@H]2S1(=O)=O,False,True,True,False
C[C@H](Cl)OC(=O)c1ccccc1,False,True,True,False
O=C(OCI)OC1CCOCC1,False,True,True,False
N#Cc1ccc2c(c1)CO[C@]2(CCCN)c1ccc(F)cc1,False,True,True,False
N#Cc1ccc2c(c1)CO[C@@]2(CCCN)c1ccc(F)cc1,False,True,True,False
N#Cc1ccc2c(c1)COC2c1ccc(F)cc1,False,True,True,False
N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,False,True,True,False
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,False,True,True,False
CN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,False,True,True,False
CC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,False,True,True,False
CSCCl,False,True,True,False
COc1ccc(OCSC)c(C(C)C)c1,False,True,True,False
[C-]#[15N],False,True,True,False
COc1ccc(OCCl)c(C(C)C)c1,False,True,True,False
COc1ccc(OC(C#N)=C[O-])c(C(C)C)c1,False,True,True,False
COc1ccc(Oc2[13cH]nc(N)nc2N)c(C(C)C)c1,False,True,True,False
COc1ccc(OCC#[15N])c(C(C)C)c1,False,True,True,False
N=C(N)NC(=N)N,False,True,True,False
CCOC=O,False,True,True,False
COc1ccc(Oc2cnc(N)nc2[15NH2])c(C(C)C)c1,False,True,True,False
CCO[13C](C)=O,False,True,True,False
N=[13C](N)N,False,True,True,False
COc1ccc(OCc2n[13c](N)n[13c](N)n2)c(C(C)C)c1,False,True,True,False
COc1ccc(Oc2cn[13c](N)nc2N)c(C(C)C)c1,False,True,True,False
C1CCC(NC2CCCCC2)CC1,False,True,True,False
C=CCN(CC=C)C(=O)CC(=O)[O-],False,True,True,False
C=CCN(CC=C)C(=O)CC(=O)OCC,False,True,True,False
CCOC(=O)CC(=O)OCC,False,True,True,False
C=CCNCC=C,False,True,True,False
O=C(c1ccccc1)N1CC[C@H](N2CCN(Cc3ccccc3)CC2)C[C@H]1Cc1ccccc1,False,True,True,False
CCC(=O)Nc1c(C)ccc(N2CCN([C@@H]3CCN(Cc4ccccc4)[C@H](Cc4ccccc4)C3)CC2)c1C,False,True,True,False
CCC(=O)Nc1c(C)ccc(N2CCN([C@@H]3CCN(C(=O)OCc4ccccc4)[C@H](Cc4ccccc4)C3)CC2)c1C,False,True,True,False
CC(C)(C)OC(=O)N1CCC2(CC1C(O)c1ccccc1)OCCO2,False,True,True,False
c1ccc(C[C@H]2CC3(CCN2)OCCO3)cc1,False,True,True,False
Cc1cccc(C)c1NC(=O)CCl,False,True,True,False
